nice to see you here 🦜🦾,"This data is maintained @sureailabs, @proximasan, @EErratica, and @KyrickYoung as part our ongoing Image Synthesis Style Studies project, started in Feb 2022. Its purpose is to document artist names and other prompt modifier keywords (see tabs) that are recognized by AI text-to-image synthesis models, such as the CLIP models used in Disco Diffusion and Stable Diffusion. We are not afilliated with the development or training of these models.

You can view outputs and more information about this project is available at parrotzone.art 🦜🦾",,,,,,"Do NOT request edit permissions. We do not grant these. If you'd like to recommend a modifier not already on this sheet (to verify, search with CTRL+F), you can use this form: 🎟️ Artist Recommendations 

All styles tested for CLIP in Disco Diffusion, v4.1, but should have similarly successful results in any platform where OpenAI's CLIP models are used. Default settings used including ViTB32, ViTB16, RN50. Some studies used ViTL14 and cutn_batches = 4. Each study uses a different random seed. Images are 1280x1024 each, generated in 250 steps.",,,,,
,"Summary stats:
Updated 10/05/2022","Studies completed: 4,041
(CLIP)",,"Styles recognized: 2,576
(CLIP)",,"Other modifier studies: 767
(CLIP, tab 2)",,,,,,
"Artist (last/only)
(or other effect)",Artist (first),"Recognized?
(CLIP via Disco)","DD 
study","Recognized?
(Stable)","SD 
study","Tags 
(work-in-progress)","Year of Death 
(N/A if living)","User
(Disco Study)",sgl imgs,cards folder,batch #,Notes
Aalto,Alvar,Yes,x,Yes,x,"architecture, high contrast",1976,sureailabs,x,x,8,
Aarons,Slim,Yes,x,Yes,x,"vibrant, photography, scene",2006,sureailabs,x,x,8,
Abbey,Edwin Austin,Yes,x,Yes,x,"scene, realism",1911,EErratica,x,x,7,
Abercrombie,Gertrude,Yes,x,Yes,x,"surrealism, dark,",1977,sureailabs,x,x,10,
Abramović,Marina,Yes,x,Yes,x,"scene, photography",N/A,sureailabs,x,x,8,
Abts,Tomma,Yes,x,Yes,x,"abstract, angular",N/A,sureailabs,x,x,10,
Acconci,Vito,Yes,x,Yes,x,"dark, installation, architecture, sculpture",2017,sureailabs,x,x,10,
Achenbach,Andreas,Yes,x,Yes,x,"landscape, seascape, romanticism",1910,sureailabs,x,x,10,
Ackroyd,Norman,Yes,x,Yes,x,"landscape, monochromatic, high contrast",N/A,proximasan,x,x,10,
Adams,Ansel,Yes,x,Yes,x,"monochromatic, high contrast",1984,KyrickYoung,x,x,2,
Adams,Arthur,Yes,x,Yes,x,"detailed, clean",N/A,sureailabs,x,x,5,
Adams,Neal,Yes,x,Yes,x,comics,2022,sureailabs,x,x,12,
Adamski,Josh,Yes,x,Yes,x,"landscape, vibrant",N/A,sureailabs,x,x,12,
Addams,Charles,Yes,x,Yes,x,"monochromatic, scene",1988,EErratica,x,x,7,
Adnan,Etel,Yes,x,Yes,x,"abstract, vibrant, landscape",2021,sureailabs,x,x,10,
Adolfsson,Mattias,Yes,x,Yes,x,"detailed, whimsical, watercolor",N/A,sureailabs,x,x,12,
Aenami,Alena,Yes,x,Yes,x,"vibrant, landscape, digital",N/A,sureailabs,x,x,3,
Aertsen,Pieter,Yes,x,Yes,x,"detailed, scene, renaissance",1575,EErratica,x,x,7,
af Klint,Hilma,Yes,x,Yes,x,"abstract, low contrast",1944,proximasan,x,x,1,
Affandi,N/A,Yes,x,Yes,x,"expressionism, messy, abstract, scene",1990,sureailabs,x,x,3,
Afremov,Leonid,Yes,x,Yes,x,"vibrant, stained glass, impressionism",2019,proximasan,x,x,4,
